product_id,product_name,normalized_name
TOY_2467,$@PRODUCT TOY_2467@$,product toy2467
BOO_8611,%#PRODUCT BOO_8611#%,product boo8611
FOO_3188,$@!product foo_3188!@$,product foo3188
TOY_7684,%$PRODUCT TOY_7684$%,product toy7684
ELE_2405,@!product ele_2405!@,product ele2405
CLO_3449,@PRODUCT CLO_3449@,product clo3449
TOY_9434,$product toy_9434$,product toy9434
CLO_2477,!PRODUCT CLO_2477!,product clo2477
BOO_8852,@product boo_8852@,product boo8852
FOO_6882,PRODUCT FOO_6882,product foo6882
ELE_7731,$#PRODUCT ELE_7731#$,product ele7731
CLO_1342,%@product clo_1342@%,product clo1342
TOY_7828,%@PRODUCT TOY_7828@%,product toy7828
BOO_2956,$#@product boo_2956@#$,product boo2956
CLO_3990,$PRODUCT CLO_3990$,product clo3990
CLO_6062,%#@product clo_6062@#%,product clo6062
FOO_2353,!PRODUCT FOO_2353!,product foo2353
CLO_7737,$#PRODUCT CLO_7737#$,product clo7737
BOO_5988,%PRODUCT BOO_5988%,product boo5988
FOO_4742,#@PRODUCT FOO_4742@#,product foo4742
TOY_4953,@product toy_4953@,product toy4953
TOY_8434,@!PRODUCT TOY_8434!@,product toy8434
TOY_5628,PRODUCT TOY_5628,product toy5628
ELE_8264,!PRODUCT ELE_8264!,product ele8264
BOO_9973,#@!PRODUCT BOO_9973!@#,product boo9973
CLO_1832,#!PRODUCT CLO_1832!#,product clo1832
TOY_9321,PRODUCT TOY_9321,product toy9321
TOY_8236,#!PRODUCT TOY_8236!#,product toy8236
ELE_9476,!product ele_9476!,product ele9476
BOO_6090,%#PRODUCT BOO_6090#%,product boo6090
CLO_6270,$#product clo_6270#$,product clo6270
CLO_3065,$!product clo_3065!$,product clo3065
CLO_7396,%#product clo_7396#%,product clo7396
FOO_1558,@product foo_1558@,product foo1558
BOO_9053,$#PRODUCT BOO_9053#$,product boo9053
ELE_5983,#product ele_5983#,product ele5983
ELE_8112,%!PRODUCT ELE_8112!%,product ele8112
TOY_3128,$!product toy_3128!$,product toy3128
BOO_6563,$#product boo_6563#$,product boo6563
BOO_4048,!PRODUCT BOO_4048!,product boo4048
ELE_3920,%$product ele_3920$%,product ele3920
FOO_4939,%@!product foo_4939!@%,product foo4939
CLO_8743,#@PRODUCT CLO_8743@#,product clo8743
CLO_2153,#product clo_2153#,product clo2153
FOO_9168,@product foo_9168@,product foo9168
TOY_3900,@PRODUCT TOY_3900@,product toy3900
BOO_2512,%@!PRODUCT BOO_2512!@%,product boo2512
CLO_8125,$PRODUCT CLO_8125$,product clo8125
BOO_3058,product boo_3058,product boo3058
TOY_3223,#@PRODUCT TOY_3223@#,product toy3223
ELE_6023,@!PRODUCT ELE_6023!@,product ele6023
CLO_4681,$#@product clo_4681@#$,product clo4681
FOO_8957,PRODUCT FOO_8957,product foo8957
FOO_5694,PRODUCT FOO_5694,product foo5694
ELE_5993,%$@PRODUCT ELE_5993@$%,product ele5993
FOO_7358,#PRODUCT FOO_7358#,product foo7358
BOO_4540,@PRODUCT BOO_4540@,product boo4540
BOO_3409,@product boo_3409@,product boo3409
FOO_5665,product foo_5665,product foo5665
BOO_3917,#@PRODUCT BOO_3917@#,product boo3917
FOO_1083,%#@!product foo_1083!@#%,product foo1083
